N,Название,Цена,Метро,ссылка
19,Зарядное устройство для HTC,250 руб.,Первомайская,https://www.avito.ru/moskva/telefony/zaryadnoe_ustroystvo_dlya_htc_400446034
20,HTC Touch Dual,1 800 руб.,,https://www.avito.ru/moskva/telefony/htc_touch_dual_924540834
21,HTC M8 16g one sim,10 000 руб.,,https://www.avito.ru/moskva/telefony/htc_m8_16g_one_sim_924540369
22,Htc one m7 LTE 32g,5 200 руб.,,https://www.avito.ru/moskva/telefony/htc_one_m7_lte_32g_924538941
23,Htc 816,6 500 руб.,,https://www.avito.ru/moskva/telefony/htc_816_924538677
24,Телефон HTC One Dual Sim 32Gb б/у продам,10 000 руб.,,https://www.avito.ru/moskva/telefony/telefon_htc_one_dual_sim_32gb_bu_prodam_924536327
25,HTC Desire 626,10 000 руб.,,https://www.avito.ru/moskva/telefony/htc_desire_626_924536120
27,HTC Desire 816,5 000 руб.,,https://www.avito.ru/moskva/telefony/htc_desire_816_924531654
28,Смартфон HTC one mini 16GB,4 000 руб.,пруды,https://www.avito.ru/moskva/telefony/smartfon_htc_one_mini_16gb_877834562
29,HTC Desire 200,2 000 руб.,,https://www.avito.ru/moskva/telefony/htc_desire_200_924528934
30,HTC 400 dual sim black,3 000 руб.,проспект,https://www.avito.ru/moskva/telefony/htc_400_dual_sim_black_833618683
31,Смартфон HTC T6 (новый),8 500 руб.,вокзал,https://www.avito.ru/moskva/telefony/smartfon_htc_t6_novyy_924526164
33,Htc wildfire s,2 400 руб.,,https://www.avito.ru/moskva/telefony/htc_wildfire_s_890037634
34,HTC 820,6 700 руб.,,https://www.avito.ru/moskva/telefony/htc_820_924511902
35,HTC One M10,23 000 руб.,,https://www.avito.ru/moskva/telefony/htc_one_m10_924504538
36,HTC One M8 (16 GB) Ростест,10 000 руб.,,https://www.avito.ru/moskva/telefony/htc_one_m8_16_gb_rostest_924504467
37,HTC m7,3 500 руб.,Кунцевская,https://www.avito.ru/moskva/telefony/htc_m7_924504387
38,HTC One m9 plus,17 500 руб.,,https://www.avito.ru/moskva/telefony/htc_one_m9_plus_924502503
39,HTC desire 630 dual sim,8 000 руб.,,https://www.avito.ru/moskva/telefony/htc_desire_630_dual_sim_924499204
40,HTC desire 601 dual SIM,3 500 руб.,,https://www.avito.ru/moskva/telefony/htc_desire_601_dual_sim_924496677
41,Телефон HTC Desire 200,1 000 руб.,,https://www.avito.ru/moskva/telefony/telefon_htc_desire_200_864648097
42,Телефон HTC Desire X dual sim,1 500 руб.,,https://www.avito.ru/moskva/telefony/telefon_htc_desire_x_dual_sim_874094784
43,HTC desire 601 dual SIM,3 500 руб.,,https://www.avito.ru/moskva/telefony/htc_desire_601_dual_sim_924495405
44,Htc,1 500 руб.,,https://www.avito.ru/moskva/telefony/htc_924491015
45,HTC one,5 000 руб.,,https://www.avito.ru/moskva/telefony/htc_one_924489116
46,HTC Expiorer A310e,2 900 руб.,,https://www.avito.ru/moskva/telefony/htc_expiorer_a310e_895104617
47,Новый чехол на телефон HTC ONE M8,250 руб.,,https://www.avito.ru/moskva/telefony/novyy_chehol_na_telefon_htc_one_m8_773876739
48,HTC one m7,8 000 руб.,,https://www.avito.ru/moskva/telefony/htc_one_m7_924474134
49,HTC Desire S,2 000 руб.,,https://www.avito.ru/moskva/telefony/htc_desire_s_880676957
50,Телефон HTC One S,6 000 руб.,,https://www.avito.ru/moskva/telefony/telefon_htc_one_s_794990889
52,HTC One m8,7 000 руб.,,https://www.avito.ru/moskva/telefony/htc_one_m8_924464956
53,HTC Desire 626G dual sim,4 500 руб.,,https://www.avito.ru/moskva/telefony/htc_desire_626g_dual_sim_880633969
